i,코드,기업명,내용,
10000,VJET,복셀젯 ADR,복셀젯 ADRVoxeljet AG ADR복셀젯은 독일에 본사를 둔 3차원(3D) 프린터 제조 및 판매하는 기업이다.이 회사는 항공우주 자동차 공학 건축 과학 의학 예술 영화 엔터테인먼트와 같은 분야에서 활동하는 산업 기업을 목표로 한다.이 회사는 복셀젯 시스템과 복셀젯 서비스의 두 가지 사업영역으로 나뉘어져 있다.복셀젯 시스템은 VX200 VX500 VXC800 VX1000 VX4000 등 5가지 인쇄 시스템을 개발 생산 유통한다.3D 모델은 선택적으로 접착된 입자재를 레이어드 적용하여 만들어진다.복셀젯 서비스는 금속 주형 및 모델의 온디맨드 생산을 위한 3D 프린팅 서비스 센터를 운영하고 있다.이 센터는 월 20만 리터의 인쇄물량을 가진 3D 프린터를 제공한다.또한 이 회사는 주형 설계 주조 서비스 및 모델의 후처리 중고 장비 판매 등을 제공한다.복셀젯은 독일 아우크스부르크에서 1개 생산 공장을 운영하고 있다.
10001,VKI,Invesco Advantage Municipal Inc Tr II,Invesco Advantage Municipal Inc Tr IIInvesco Advantage Municipal Inc Tr II인베스코 어니밴티지 뮤니시펄 인컴 트러스트II (신탁)는 분산된 폐쇄 형 관리 투자 회사입니다.트러스트의 투자 목표는 보통 주주들에게 자본 보전과 일관되게 연방 소득세에서 면제되는 높은 수준의 현재 소득을 제공하는 것입니다.정상적인 시장 조건 하에서 트러스트는 투자 당시시 등급의 투자 등급에 투자하는 데 중점을 둡니다.시립 증권에는 시립 채권 시립 지폐 시립 상업 용지 및 임대 의무가 포함됩니다.트러스트는 비 투자 등급 및 등급이없는 유가 증권에도 투자 할 수 있습니다.연방 대체 최저 세금에 따라이자를 지급하는 시립 증권에 투자 할 수 있습니다.신탁은 이자율 위험이있는 유가 증권에 투자 할 수 있습니다. 트러스트는 투자 목적으로 입찰 옵션 채권 (TOB)과 같은 역 유동 증권에 투자합니다.Invesco Advisers Inc.는 Trust의 투자 고문 역할을합니다.
10002,VKQ,Invesco Municipal Trust,Invesco Municipal TrustInvesco Municipal Trust인베스코 뮤니시펄 트러스트(신탁)는 분산된 폐쇄적 인 경영 투자 회사입니다.트러스트의 투자 목표는 보통 주주들에게 자본 보전과 일관되게 연방 소득세에서 면제되는 높은 수준의 현재 소득을 제공하는 것입니다.트러스트는 투자 당시 자산의 약 80 %를 시립 증권 등급 투자 등급에 투자합니다.시립 증권에는 시립 채권 시립 지폐 시립 상업 용지 및 임대 의무가 포함됩니다.Trust의 포트폴리오에는 수익 채권 사전 환불 채권 및 일반 의무 채권이 포함됩니다.트러스트는 앨라배마 알래스카 애리조나 캘리포니아 콜로라도 코네티컷 플로리다 조지아 괌 하와이 아이다 호 일리노이 인디애나 아이오와 캔사스 켄터키 루이지애나 메릴랜드 미시간 미네소타 네브라스카 네바다 미주리 뉴저지 뉴 멕시코 뉴욕 노스 캐롤라이나 노스 다코타 오하이오 사우스 캐롤라이나 위스콘신 및 와이오밍 등 다양한 지역에 투자합니다.
10003,VKTX,바이킹 테라퓨틱스,바이킹 테라퓨틱스Viking Therapeutics Inc바이킹 테라퓨틱스는 대사 및 내분비 장애에 대한 요법 개발에 중점을 둔 임상 단계 바이오 제약 회사이다.이 회사의 수석 임상 프로그램의 약물 후보 인 VK2809는 갑상선 호르몬 수용체 베타 (TRB)의 경구 이용 가능 조직 및 수용체-서브 타입 선택적 작용제이다.이 회사는 조직검사에서 확인된 비알코올성 간염(NASH) 환자를 대상으로 VK2809의 2단계 임상시험인 VOYAGE 연구를 수행하고 있다.또한 이 회사는 또한 뇌와 신경 세포를 둘러싼 보호 장벽이 무너지는 것을 특징으로 하는 희귀한 X-연관성 아드레날린 뉴로디스트로피(X-ALD)에 대한 TRb의 경구용 조직 및 수용체 하위 유형 선택적 작용제인 VK0214를 개발하고 있다.이 회사는 X-ALD 환자를 대상으로 VK0214의 Ib상 임상시험에 참여하고 있으며 다른 임상 프로그램으로는 경구용 비스테로이드 선택 안드로겐 수용체 조절기(SARM)인 VK5211가 있다.
10004,VLCN,볼콘,볼콘Volcon Inc볼콘은 전기 스포츠 운송수단 제조 회사이다. 이 회사는 이륜 또는 사륜 전기 모터사이클과 UTV 관련 업그레이드와 액세사리의 개발과 제조를 하고 있다.이 회사는 다양한 종류의 모터사이클과 UTV 완전전기 구동이 되는 오프로드용 상품을 제공한다.이 회사의 오프로드 모터사이클에는 Grunt와 Runt라는 2개의 제품이 있다.이 회사의 UTV제품에는 Stag와 Beast가 있다. 이 회사는 사용자로 하여금 핸드폰과 앱을 대시보드로 사용할수 있는 서비스를 제공한다.이를 통해 사용자는 라이드모드 설정 배터리 상태 확인 기기 펌웨어 업데이트등을 할 수 있다.이 회사의 제품들은 가족 단위의 오프로드 여행 레크레이션 스포츠 농장에서의 사용을 위해 디자인되었다.이 회사는 라틴 아메리카 캐나다 유럽 아프리카 동남아시아 호주에서 사업을 운영중이다.
10005,VLD,벨로3D,벨로3DVelo3D Inc벨로3D는 금속 적층 제조(AM) 솔루션을 제공한다. 이 회사의 금속 적층 제조 솔루션은 Velo3D Flow Print 준비 소프트웨어 금속 3D 프린터의 Sapphire 제품군 실시간 및 제어 소프트웨어 보장 지능형 융합 제조 프로세스로 구성된다.Flow 인쇄 준비 소프트웨어는 Sapphire 금속 3D 프린터 제품군의 제조 공정을 규정하는 역할을 하고 Metal AM 프린터의 Sapphire 제품군은 기존 제조의 한계에서 혁신을 이끌어내도록 설계되었다.Assure 소프트웨어는 기계 상태 부품 무결성 및 빌드 보고에 대한 전례 없는 추적 가능성을 제공한다.이 회사는 정보 흐름 센서 데이터 고급 인쇄 기술을 지능적으로 관리하여 인쇄 준비 소프트웨어 고급 금속 프린터 특허 기술 및 품질 보증 소프트웨어를 완전한 제조 솔루션으로 결합하는 Intelligent Fusion을 통해 멀티 태스킹을 위한 전체 프로세스의 정밀 제어를 위한 고급 인쇄 기술 산업에 서비스를 제공한다.
10006,VLGEA,빌리지 슈퍼 마켓,빌리지 슈퍼 마켓Village Super Market Inc빌리지 슈퍼 마켓은 식품 및 비식품 제품의 소매업체이다. 이 회사는 뉴저지 뉴욕 펜실베이니아 및 메릴랜드에 약 34개의 ShopRite 슈퍼마켓 5개의 페어웨이 마켓 및 3개의 구메 차고 전문 시장 체인을 운영하고 있다.이 회사는 소매업체 소유의 식품 협동조합이자 ShopRite Fairway 및 Gourmet Garage의 소유주인 Wakefern Food Corporation의 회원이다.Wakefern Food Corporation은 슈퍼마켓과 다른 소매 형태를 운영한다.이 회사의 매장에는 레스토랑 스타일의 주방과 테이크-홈 및 매장 내 식사를 위한 다양한 매장과 준비된 특별한 음식을 제공하는 여러 키오스크를 특징으로 하는 빌리지 푸드 가든 컨셉이 포함되어 있다.이 회사는 식료품 유제품 및 냉동 농산물 육류 비식품 델리 및 준비 식품 약국 해산물 베이커리 및 주류를 포함한 다양한 제품을 제공한다.이 회사는 또한 요리 교실 피트니스 스튜디오 학습 및 보육 센터와 같은 서비스를 제공한다.
10008,VLO,발레로 에너지,발레로 에너지Valero Energy Corp발레로 에너지는 운송 연료 및 석유화학 제품의 국제 제조 및 판매업체이다.이 회사는 정유 재생 가능한 디젤 에탄올 부문을 통해 운영된다.이 회사의 정유 부문은 정유소 운영 관련 마케팅 활동 및 정유 운영을 지원하는 물류 자산이 포함된다.재생 가능한 디젤 부문은 재생 가능한 디젤을 정제 부문에 판매한다.에탄올 부문은 에탄올 공장의 운영 관련 마케팅 활동 및 에탄올 운영을 지원하는 물류 자산이 포함된다.이 회사는 미국(US) 캐나다 및 영국(UK) 에 15개의 정유 공장을 소유하고 있으며 미국 중부 대륙에 위치한 12개의 에탄올 공장을 소유하고 있다.이 회사는 또한 Diamond Green Diesel( DGD)와 루이지애나주 노르코에서 재생 가능한 디젤 공장을 소유 및 운영하고 있다.
10009,VLRS,콘트롤라도라 부엘라 콤파니아 아비아시온 ADR,콘트롤라도라 부엘라 콤파니아 아비아시온 ADRControladora Vuela Compania de Aviacion SAB de CV ADR콘트롤라도라 부엘라 시아 데 아비아시온은 항공 여객 운송 부문에 종사하는 멕시코에 본사를 둔 회사입니다.당사는 초저비용 통신사(ULCC)로 운영됩니다. 활동은 멕시코(국가 작전)와 미국 및 중앙 아메리카(국제 작전)의 두 가지 지리적 영역으로 나뉩니다.당사는 직항 노선을 제공합니다. 당사는 2차 저비용의 공항을 통해 서비스를 제공하며 단일 종류의 서비스를 제공합니다.이 기단은 A319 A320 및 A321과 같은 다수의 에어버스 항공기를 포함합니다.당사는 CM(Comercializadora Volaris SA de CV) icios Berthativos Volaris SA de CV 및 Servicios Operativos Terres Volaris SA de CV를 통해 운영됩니다.
10010,VLT,Invesco High Income Trust II,Invesco High Income Trust IIInvesco High Income Trust II이 펀드는 다각화된 폐쇄형 관리 투자 신탁입니다. 이 신탁의 투자 목표는 고액의 경상 수입을 제공하는 동시에 전문적으로 관리되는 고정 수익 증권 생산 수익 포트폴리오에 대한 투자를 통해 주주 자본을 보존하는 것입니다.이 트러스트는 항공우주 및 방위 농업 및 농업 기계 의류 소매 자동차 부품 및 장비 건축 제품 케이블 및 위성 건설 및 엔지니어링 소비자 금융 다양한 은행 식품 소매 의료 시설 가정 건물 산업 기계 인터넷 소프트웨어 및 기타 다양한 분야에 투자합니다.서비스 석유 및 가스 장비 및 서비스 종이 포장 및 의약품에 대해 설명합니다.Invesco Advisers Inc.는 트러스트의 투자 조언자입니다.
